Date_Vente,SKU,Collection,Nom_Produit,Couleur,Taille,Quantité_Vendue,Prix_Unitaire,Remise,Prix_Final,Canal,Paiement,Pays,date_vente,pays_commande
2024-01-10,SP-129,Sport-Plage,Short cache awra,Noir,S,1,44.99,0,44.99,E-commerce,Apple Pay,Belgique,2024-05-10,Belgique
2025-04-16,CHE-90,Chechias,Chechia,Gris clair,M,2,9.49,0,9.49,E-commerce,Mastercard,Belgique,2024-11-10,Belgique
2024-10-05,QAM-69,Qamis,Qamis Classique,Kaki,Unknown,3,39.99,0,39.99,E-commerce,PayPal,Belgique,2022-05-02,France
2024-09-03,QAM-56,Qamis,Qamis Classique,Bleu foncé,Unknown,2,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2023-04-12,Pays-Bas
2024-05-06,LIN-113,Ensembles En Lin,Ensemble en Lin,Noir,S,1,69.99,0,69.99,E-commerce,Mastercard,Belgique,2022-11-27,Belgique
2025-06-16,CHE-108,Chechias,Chechia,Gris foncé,XL,2,9.49,0,9.49,E-commerce,Google Pay,Belgique,2022-03-29,France
2025-06-13,QAM-56,Qamis,Qamis Classique,Bleu foncé,Unknown,3,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2024-05-21,Belgique
2025-05-18,QAM-4,Qamis,Qamis Classique,Beige,Unknown,2,39.99,0,39.99,E-commerce,PayPal,Belgique,2022-05-11,Belgique
2023-11-07,QAM-58,Qamis,Qamis Classique,Bleu foncé,Unknown,3,39.99,0,39.99,E-commerce,PayPal,Belgique,2024-02-09,Pays-Bas
2024-07-29,QAM-9,Qamis,Qamis Classique,Beige,Unknown,3,39.99,0,39.99,E-commerce,Mastercard,Belgique,2022-12-10,Pays-Bas
2024-11-12,QAM-69,Qamis,Qamis Classique,Kaki,Unknown,3,39.99,0,39.99,E-commerce,Google Pay,Belgique,2024-03-16,Belgique
2023-01-25,QAM-44,Qamis,Qamis Classique,Chocolat,Unknown,1,39.99,0,39.99,E-commerce,PayPal,Belgique,2023-01-21,Pays-Bas
2023-11-10,CHE-105,Chechias,Chechia,Gris foncé,S,3,9.49,0,9.49,E-commerce,PayPal,Belgique,2024-08-13,France
2023-09-15,QAM-57,Qamis,Qamis Classique,Bleu foncé,Unknown,3,39.99,0,39.99,E-commerce,Mastercard,Belgique,2022-10-04,Luxembourg
2023-09-11,QAM-28,Qamis,Qamis Classique,Noir,Unknown,3,39.99,0,39.99,E-commerce,Visa,Belgique,2023-04-05,France
2025-05-09,QAM-6,Qamis,Qamis Classique,Beige,Unknown,1,39.99,0,39.99,E-commerce,Mastercard,Belgique,2022-01-22,France
2023-03-08,LIN-128,Ensembles En Lin,Ensemble en Lin,Beige,XL,1,69.99,0,69.99,E-commerce,Mastercard,Belgique,2022-09-10,France
2023-11-17,QAM-54,Qamis,Qamis Classique,Bleu ciel,Unknown,3,39.99,0,39.99,E-commerce,Mastercard,Belgique,2024-01-18,France
2024-02-11,QAM-38,Qamis,Qamis Classique,Chocolat,Unknown,1,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2024-05-06,Belgique
2024-11-03,QAM-70,Qamis,Qamis Classique,Kaki,Unknown,1,39.99,0,39.99,E-commerce,PayPal,Belgique,2023-04-20,Belgique
2023-04-17,QAM-5,Qamis,Qamis Classique,Beige,Unknown,3,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2024-12-18,Belgique
2023-11-15,QAM-9,Qamis,Qamis Classique,Beige,Unknown,1,39.99,0,39.99,E-commerce,Google Pay,Belgique,2023-05-26,France
2023-02-20,QAM-2,Qamis,Qamis Classique,Beige,Unknown,3,39.99,0,39.99,E-commerce,Google Pay,Belgique,2023-12-01,Belgique
2024-12-23,QAM-28,Qamis,Qamis Classique,Noir,Unknown,3,39.99,0,39.99,E-commerce,PayPal,Belgique,2024-09-02,France
2023-11-17,QAM-37,Qamis,Qamis Classique,Chocolat,Unknown,2,39.99,0,39.99,E-commerce,Google Pay,Belgique,2022-07-09,Pays-Bas
2023-04-27,SP-135,Sport-Plage,T-shirt technique,Noir,L,1,24.99,0,24.99,E-commerce,Google Pay,Belgique,2024-08-15,Belgique
2023-11-06,CHE-99,Chechias,Chechia,Bleu foncé,L,1,9.49,0,9.49,E-commerce,Mastercard,Belgique,2023-11-18,France
2023-06-03,QAM-42,Qamis,Qamis Classique,Chocolat,Unknown,1,39.99,0,39.99,E-commerce,Google Pay,Belgique,2024-08-15,Belgique
2025-04-15,QAM-47,Qamis,Qamis Classique,Bleu ciel,Unknown,2,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2023-07-17,Luxembourg
2023-10-11,QAM-43,Qamis,Qamis Classique,Chocolat,Unknown,3,39.99,0,39.99,E-commerce,Mastercard,Belgique,2024-04-11,Belgique
2023-06-23,QAM-27,Qamis,Qamis Classique,Noir,Unknown,2,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2023-10-09,France
2023-12-08,QAM-74,Qamis,Qamis Classique,Kaki,Unknown,1,39.99,0,39.99,E-commerce,Visa,Belgique,2022-01-21,Luxembourg
2024-10-22,CHE-105,Chechias,Chechia,Gris foncé,S,3,9.49,0,9.49,E-commerce,Apple Pay,Belgique,2024-04-20,Pays-Bas
2024-05-14,CHE-91,Chechias,Chechia,Gris clair,L,1,9.49,0,9.49,E-commerce,PayPal,Belgique,2022-06-16,France
2023-10-11,LIN-128,Ensembles En Lin,Ensemble en Lin,Beige,XL,3,69.99,0,69.99,E-commerce,Visa,Belgique,2023-01-23,France
2024-10-26,QAM-39,Qamis,Qamis Classique,Chocolat,Unknown,2,39.99,0,39.99,E-commerce,Apple Pay,Belgique,2023-08-24,France
2023-06-14,QAM-43,Qamis,Qamis Classique,Chocolat,Unknown,1,39.99,0,39.99,E-commerce,Mastercard,Belgique,2022-11-12,Luxembourg
2024-10-28,SP-136,Sport-Plage,T-shirt technique,Noir,XL,1,24.99,0,24.99,E-commerce,Mastercard,Belgique,2022-01-14,France
2024-10-02,QAM-80,Qamis,Qamis Classique,Gris,Unknown,2,39.99,0,39.99,E-commerce,PayPal,Belgique,2022-08-30,Belgique
